amplicom	kingdom	phylum	class	order	family	genus	specie	identity
da5863f2e6743b897eae80106acddc4ddc83698d	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.475
005989889d9155c62e3b67637b52041cb4ec033c	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.035
014b6b5f115012e5e9ccd205015ec72a9113b06a	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.821
0282ee416d57ea71150fccad11243d2a18ae8810	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.149
028ae3b7fd754d98c4761eb03afea0d060ff71d7	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.598
03007158e5557a4bcbd284287ed8989c6a9a6c9a	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	98.879
049e548505f9a08d1bf9a92166ca607a7b08ad83	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.788
0522132d4d22b9bbe23ab7e70fb5f5727d172416	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.026
05485264971d4402da5aff5e9740116b816e4c6b	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.603
0984cb8b26699610d39c28792b584c781306b060	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	99.050
0a2190543324eac462415943fe8355b235394288	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.655
0f9e64e61e0ca817d31c4dc5f9b2b1a4ef847fd8	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.911
107d0d49cc23d54cb17a395367a8b1ff5a84156e	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.472
144a3b97e224b96cd5fb568a8a3d17dae5523abc	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	98.879
16771e084a4aeca5acad57c398884fc6af4053c7	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	98.658
16c6a5d4310f46b087d6910a95b569cdb6c09504	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.035
17314ef23c157b0e98942b3842b08faa408f934e	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.575
19e8d31e65399e8f02fb5644ebfa79f66a7bd5ad	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	96.903
1aab2f228da57c58ebe355d20d65e7e776dd109b	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.598
1c6fb24e0884870b76c5ed18322f61fc13a158ae	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	97.566
1da6c1f8531e71248c17c6b4573ab95aa76aed4d	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.582
1ffc525887503063e94e3d88b2f654d5327a382b	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.168
203a1d6d8a2fe66ecd6fc113ba0a14eaaee678df	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.693
20722900690d44df10e3d0655dd878d8987bf885	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	99.105
229bb5bb593cacf1d38caa9bdc0f07bb65525fca	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	95.078
2365b41576dae5c980d69286c2e5fb6c3537a1ee	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.862
244a4acaaa28c2a7d5e886130e93954b777a426a	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.333
25a2594660850c10d691c3f0c5d2f404acef1735	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	96.386
26abf1582d08ae7ed92609cb06018a1cf8c1b47d	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	98.434
290a1100098164237921cd8e4916f6c6250d7e5e	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.380
2a576f1278711a99732dfd77a97a478068677cc4	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	99.050
2a97f4bc2faf18c7af400dfdfdcd3dafa63d0930	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.035
2b77110dddde99eef7476dd30c47954b3d747f3d	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	95.249
2e32c050eaebf4e184b8a711dfaa0a7d83ac7a70	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	99.048
3001bc7136c185f3f3eb129edfc44d4056dff790	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.908
34b1ae94986844e8abf02947f3252072b3e0a002	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	96.070
34fc8d443f08452459f722200400a97140d5b1e6	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	97.773
37c60295035d3876ca15355404c8a6ae82cb9093	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	99.050
3b77f4de63187551f4ac127903654b30ecd43df5	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	98.035
3d6d0c5ee0a5c32f455e9fb59db3efe732dab217	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.149
3dfd00641fba2049c3d06e42807594b5b2fb70dc	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.690
41c7c3400f802af2a7ae96cc3aac018601689835	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.472
44a09b3801d046a6cecbd2b83dc0d72e8556b419	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.009
4518d3b026f302390b8f2fd309f4c8e7df4efa53	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	97.802
4cf9e088ca01f0503cf4b1c523af37101c8e7de0	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.257
4e66f14d10b08a6a18829938081207c0f1723364	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	99.287
554f94b3007e83b73c24b7cc2eca433c9895045e	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.598
560f5de9cc1c13768fbc819b9bc4d27263700b5c	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	99.287
56ef032d7819067a20e16342d3b5a0a5e23f1ca7	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.022
5846c0ccf80e4edddf63e143ed435436e19c3abf	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	99.109
58f865fe990e7a6f24c984000e6ac5e6dd6fad0c	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.817
5afea3b3acdc8f752e165785c41474684448b5e6	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	98.658
5bb68bff268df05d4265cdd444faff9d18223195	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.100
5bfb5729773ec8fd455d23512994c3475c0a178e	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	96.507
5c32baacc3a5ebc2561f5dd7f0717849652062d5	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	98.876
5ebcf85dfd19ada4616e5a2934b0d6c718204369	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.810
60a5867a18ba312d995e5e37b06e7df0a5ec442b	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.852
60b99460dd24a4c82c7157041403672feee0961d	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.646
60e2bd3c591a2ef85fadff33efeb97693d99aa3d	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	98.655
612839e197189fcbd4a9034997ed1309cb06a889	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	98.261
62c2305a95ff9fd0b85d15b1003dcf8cc7bb9a7b	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.380
62cae63f8d4f30ea7cf3d9c7a1e4069559060430	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	95.487
63c78669835fed87c5c82daca5ffcda98b1d10c8	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.242
68ed5a983310ba91595fd0919ec8a1b96dbebe7e	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.035
6a4aef1fdd79d984c3a3471b80ffe797312ba4ec	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	99.289
6b7ab02d8b31249fb8b9950edf572f2b6ed3b39b	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.039
6c7593eab5fa19c5b166538fbc5bae7dc5379916	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.908
6da91a5a9a0324bd4a06f687f8e324bcb40b311a	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.246
6e16a6ea32e2acf4018a7fc4550ca58fcac0e14d	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.982
6e465bd539e3614f5ff50a835b15743c9649dfec	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	97.807
6e7ab237ffda70041f4f538f59ada57f823a72fb	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.817
6f74075a59bd01cb0239c59001986103df721ad2	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.908
6fe6625e6329562adc96aa987c3f72ebb13b5b7f	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	96.868
72d2d6e681535f6ac3cac6a34957bc833f262ebc	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.603
75d7f64fa91f8c66f5dd02b10b314c88e1127cca	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.462
7610ed2bd1999c1f543de00d5308dc5bd55196f0	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	98.100
785a7634fad02caafdda214ff0299f1768da1a6a	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	98.026
7d05b3439716adc3a108e8729010cb708821b4eb	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.968
7d75dcbab983d896e7a2300db74358c1d97a6fd5	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.812
7e4168319334f379a8cbbbf7f342ffc1ee0524a3	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	96.272
7e4e3c8d76c01a9ee48b51514e5ae8b05a10febc	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.253
7eb48049da7fa5131cc4072ea4cb45575ca224be	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	99.483
7eeed92d8700ed8aa2f3f745e29a19b9216bb25a	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	97.566
7fa7b308c7332f6fa6758c6e94d548f97e1733a4	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.150
8295be309fa2bb006fbf32da1da9d0452179302d	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.472
84fb57d5dcb53852af9709515a95d882b29caf41	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	96.732
86bc9e7826e675d0fbb9b8b16eb47d78b84e04b9	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	98.450
87316568724151a3b775de403f68a443c6505871	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.690
8922af4dc42f18fb91ff0e68110aa7db7568208f	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.380
8931400589e09514fe063da2c9c253f3db07a3f5	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.386
8a08656890253a79a9f3e63a693dd80fbe609fa2	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.100
8a2bc1e64c4b03ccaeeff6cbddb9d12a06ab235d	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	95.614
8c69783ed7537b4cfa9e109d31eddd66b25a7b9b	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	98.035
8c72c67e10d92a04b5d102d0c0ba181f16322516	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.462
8da495a3c63c99a1b8ea1dd2e19ca7fc14ee8a1e	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.009
9006dc33e8a78e69d035df94566bb7b793ec6c6c	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.242
900c6319ecdd46b01291dfdc894e37d50843186a	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	95.714
9462ac37d912546c5938bde109357d933799070e	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.575
94efca52849777a8355905ca019a4283bfd2b296	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	98.690
963ce947338c346bd34e6fae471cffc53d83b121	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.908
98185d12b54a42ac4acef833f2411d43c1dc5924	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.430
98c4dc85f6a109d1e80bd71174ac7cbb90b8d1a7	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.896
9aa51269cd18b8db561ba2f678e1e906cecc5b2f	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.472
9dfe93e18365e03451ded6ae804ab9833d21b0c4	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.039
9ec5339c50118d541fb2b5869df71d59eb85052c	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	98.472
9f0dae89a69a99bae9bf515ee6fa57a069d4945d	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.717
a07ae2ba317af23e0e6f4f8b741f36de2d48ec1f	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	98.035
a65378fdb6bcbd3786aac8132f0e43bf458f1dd6	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	98.658
a6ca396459e68bb8e1b0fb8d19e0ed50a9168a8a	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.363
a7560f11b259c36ce1fe39b1044ac30f60682549	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	98.881
aa0707575868715b655b5ba25c7c64c36e33c9dc	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.368
aad3be40aaf2fcfb412d9172ad34c444b4df6259	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.911
b05f7df7009f6e8ad2b4ffcd8e1a0489ace68777	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.621
b2200691829ca7b8c3f7ae1f1d96dd36ccc6fab0	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.337
b3df9e9e8f3f113e714e76bd5638aa8c17ec482a	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	96.703
b469bc0b633eff02a18cc7ef8c39328f59afbf3d	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.465
b5bafbb5dd973fc7ad0cf76b84fe5ebf3ec20a4e	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	98.434
b69976082a88014cab64eaf044232a9c60c754a3	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	96.437
bb54e8004b8a95d1246277f2aa64e89c9cbdd380	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	99.097
bbfacb6a8fe936220c67527007b1a99d9329c03e	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	99.052
bc7f3b9983a4767aa55300bf725e0f1cfd2bf03a	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.253
bef64f1d2542377cb34936b1a05208a9459b0981	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	97.150
befa5943d469298a359f4f743b48a3618e8a1063	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	96.675
c34aea7c235f4be726b3a4767f2171a1020d4683	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.242
c38e839332b82bf417a9e1ecd77ba7cb34714d6c	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	98.230
c5fffb0820da048735e60089b391e9dcb5c9ea28	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.022
c659872f500fb6c2e203ca17bec7e7b94907dfab	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.022
c69c7c3bd8b448867365f81ec49b38fbe8564d77	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.363
c8a90de44260d527281f1f65ff0de1047885c683	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.802
c975af8b59598615e38462608fdb398110638341	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.817
cc58ffa3a42d5a448dd12e1690ebded0b0d4e6a6	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.143
cca7d9e32be3e10223ce6e42402dd13944c1e8f1	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.655
cce9a09a7cc987cf7d604ec972f36b1977808394	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	97.763
cdbeb27fc02b3ec6aae0c7d297100eb64524fa50	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.162
cff81b3963bfa05f0d4bcb5240499270ff99f4b6	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.582
d04e3c64ddc2700012ed550c2f43de4d23a59d27	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.022
d0ae075dcb4163f3bf2bf7112731ba08be56afb1	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.588
d170e745d70b1efd9d2b0916657a13483399f6a6	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	99.050
d3cd8a3b496d8615062910ff18eb2b4e34c19fba	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	98.035
d4528d89aee1d4ca6397e1033b69c5a2d23fdfb6	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	99.105
d4e8bc8fc92b8a1b563a342549227b1f191de66f	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.035
d6d3de8bcf55b63f04535232dca893027b45f73c	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.249
d92c28a985687f98dd0665d026f4fb86ae3409f8	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	99.552
dbdaea73eaacb8ddb8dcac1898cc596fee6cf139	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	98.242
dcb9970055f10f211b1ffa3f802a202f730fa0a6	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.817
dcf281ef0559d0cdf97c909cdf6a010c97b2e323	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.862
dd5fd346638ef3eca213960582fa3131eeb7ac5c	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.218
dd7174a0adc77cf90cd79e0cc30d82a0a9227144	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	97.011
dddc0d636259f0b8105473b73e27af20cd830f65	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	volvulus	99.289
de0cdd6b652d04033072500f3cce68e924845471	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.009
deae0f6df3a5d38c504c0de67c3333fa326f98dd	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	99.318
e1394fa9b540e758dd039a328d81290b6e86a511	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.257
e1efa1632fc8bdad7b34fb09d13c52a705e5c412	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.226
e49dd4c8c81ec99af5e27178ddbad0bbb75a6847	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	96.943
e4d6e43417a7ad148e1380599331bb765c473d3b	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.122
e7493b75d8dfd2944e793fa676690b362c787d0c	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.783
e939255721ede1b6f4e5915bf89c406d933081b1	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	97.821
ec7a2676c626824c3c9c137a091f2ffcc294f57f	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.462
ec8ef587bed21d399314a6d84ceffdf893ec7ac2	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	99.109
ecb43b74ae1f151c5373ccada672da8e18963d2b	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.673
ed31875434edd73601fbf749c09cd51b46bd1b9f	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	97.582
f0346f2d1773dad2ffed9fe5cfc5ac95b2499f22	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	96.923
f26f5179f74679370f96c3ab3178bb24fda0d5f3	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	98.472
f393513ea6ebb622f4308a43dd6e3daec148a96c	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	affinis	99.121
f60f26b1705b69ff21012335347f1daf260e45ce	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	98.253
fa4b2517118b7d51c4c51829977e3e5c99a312d1	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Xyleborus	cognatus	97.380
